Date,FLOW,TSS,NH4,COD,BOD5,PH,WTEM,TURB,EC,RAIN,TEST,CASE,POSI,SARS,VACC,ATEM,LogSARS
10/8/2022,135072,40521600,2539353.6,51327360,34781005.3,7,17.8,15668352,703,0,854,58,6.79,2390,1511,3.6,3.378397901
10/9/2022,140160,40646400,2859264,54662400,29433600,6.9,17.7,21864960,851,2.3,758,53,6.99,4639,430,3.6,3.666424373
10/10/2022,138912,47230080,3722841.6,79179840,36117120,7,17.8,30699552,823,0,922,74,8.03,2221,94,3.8,3.346548559
10/11/2022,135048,43215360,3328933.2,66173520,31061040,7,17.9,24713784,831,0,1118,89,7.96,4881.689653,1833,5.6,3.688570166
10/12/2022,139656,47483040,3142260,62845200,30724320,7,17.6,20250120,839,0,1195,81,6.78,7864,2286,7.3,3.895643505
10/13/2022,174240,74923200,3972672,88862400,66211200,7,17.6,33454080,862,5.8,1164,84,7.22,5865,2296,12.9,3.768268016
10/14/2022,397440,91411200,3100032,103334400,97392882.09,7.2,16.2,52064640,440,41.3,878,58,6.61,12503,1684,11.5,4.097014231
10/15/2022,249000,59760000,2564700,69720000,64117436.03,7.2,16.6,21912000,661,0.2,1101,73,6.63,8939,1759,9.7,3.951288937
10/16/2022,173928,52178400,2052350.4,66092640,29567760,7.1,17,20697432,726,0,767,43,5.61,11877,1346,8.6,4.074706756
10/17/2022,162168,63245520,2724422.4,76218960,35676960,7,17.1,20595336,864,4,1080,90,8.33,26339,2014,9.3,4.420599282
10/18/2022,244392,102644640,3201535.2,129527760,48878400,7.1,16.7,49855968,678,14.1,1260,81,6.43,2013,2003,10.1,3.303843775
10/19/2022,185544,90916560,2894486.4,116892720,46386000,7.2,16.6,33769008,784,2.4,1177,92,7.82,9375,2777,7,3.971971276
10/20/2022,158016,41084160,2765280,94809600,48984960,7.1,16.8,26230656,841,1.2,989,73,7.38,4312,2488,5.9,3.634678752
10/21/2022,148488,54940560,2806423.2,71274240,36387062.89,7,17.1,19897392,877,0.3,1125,75,6.67,2523,1723,6,3.401917251
10/22/2022,147648,47247360,2834841.6,69394560,38019322.07,6.9,17,17127168,877,0,831,61,7.34,6695,1654,9.4,3.825750581
10/23/2022,149880,56954400,2922660,71942400,41966400,6.8,17.1,32673840,860,0,804,63,7.84,3771,1699,10.7,3.576456532
10/24/2022,151512,46968720,3166600.8,68180400,37878000,6.9,17.1,17575392,870,0,1043,83,7.96,7326,2477,12.3,3.864866914
10/25/2022,148824,50600160,2946715.2,65482560,32741280,7,17.1,22918896,867,0.1,1233,75,6.08,4034,2633,12.6,3.605735894
10/26/2022,186696,104549760,3285849.6,121352400,48540960,6.8,16.9,40139640,793,5.2,1059,63,5.95,2402,3111,12.5,3.380573003
10/27/2022,180576,115568640,2546121.6,120985920,74036160,7,16.8,52367040,721,3.6,1205,88,7.3,3075,2068,7.5,3.48784512
10/28/2022,145152,116121600,2786918.4,116121600,44038520.59,7.1,16.9,45142272,864,0,895,69,7.71,18704,2375,2.5,4.271934494
10/29/2022,142152,31273440,2615596.8,65389920,45319366.21,7,16.8,20612040,854,0,741,54,7.29,4379,1797,3.2,3.641374945
10/30/2022,142896,70019040,2729313.6,92882400,60016320,6.9,16.8,32294496,847,0,815,60,7.36,7215,1575,6.2,3.858236335
10/31/2022,140040,44812800,2464704,75621600,37810800,6.9,16.8,17505000,753,0,1096,76,6.93,7364,2013,6.5,3.86711378
11/1/2022,134976,83685120,3185433.6,93133440,94483200,6.9,16.8,41842560,856,0,1103,77,6.98,8012,2206,7.2,3.903740941
11/2/2022,131856,38238240,2795347.2,60653760,27689760,6.8,16.9,17141280,856,0,1125,96,8.53,13280,2611,5.8,4.123198075
11/3/2022,129000,38700000,2825100,76110000,49020000,6.8,16.7,40119000,847,0,1241,84,6.77,3881,1903,5.4,3.588943643
11/4/2022,127728,35763840,2963289.6,58754880,46204487.2,7,16.8,15710544,863,0,1035,69,6.67,5021,2443,8,3.700790221
11/5/2022,126672,77269920,3230136,84870240,48150391.95,7,16.7,32428032,857,0,994,84,8.45,6195,1528,14.2,3.792041311
11/6/2022,142625,64181250,3294637.5,85575000,42787500,6.9,16.7,23247875,825,1.7,881,56,6.36,2256,1493,15.7,3.353339095
11/7/2022,128808,48947040,2846656.8,73420560,43794720,6.9,16.8,20995704,866,0.1,994,85,8.55,4945,1830,9,3.694166296
11/8/2022,125160,46309200,2778552,66334800,41302800,7,16.7,28286160,760,0,1314,102,7.76,7360,1947,2.5,3.866877814
11/9/2022,126168,47943840,3028032,85794240,45420480,6.9,16.4,21700896,857,0,1353,91,6.73,6887,2295,0.2,3.838030083
11/10/2022,205536,65154912,3370790.4,110989440,51384000,7.1,14.5,30624864,637,10.8,1060,74,6.98,3240,2023,4.9,3.51054501
11/11/2022,150024,47557608,3075492,63010080,40235565.1,7.1,16,19353096,802,1.8,1025,60,5.85,4147,1860,6.5,3.617734035
11/12/2022,442848,129754464,3533927.04,123997440,124803052.8,7.3,12,38926339.2,413,41.8,1093,67,6.13,21255,939,4.1,4.327461109
11/13/2022,264792,45014640,2753836.8,100620960,26214408,7.3,13.6,21395193.6,663,2.8,863,55,6.37,10767,1010,2,4.032094713
11/14/2022,184128,29460480,2264774.4,58920960,25777920,7.2,14.7,20254080,740,0.1,1204,101,8.39,13220,1736,-1,4.121231455
11/15/2022,158040,35242920,2560248,67957200,25286400,7.2,15,16910280,846,0,1249,113,9.05,6946,1706,-1.9,3.841734779
11/16/2022,152664,34044072,2595288,67172160,32059440,7.1,15.3,16640376,1002,16.3,1307,107,8.19,9671,2390,-1.8,3.985471383
11/17/2022,164184,36613032,2807546.4,68957280,41046000,7,14.7,22164840,2350,2.7,1239,80,6.46,4743,1941,-4.5,3.676053125
11/18/2022,149040,26380080,2697624,68558400,30725135.42,7.1,15,15202080,1331,0,1148,76,6.62,6573,2401,-8.8,3.817763632
11/19/2022,145344,39242880,2950483.2,65404800,31485400.97,7,14.9,20493504,973,0.7,1031,70,6.79,6676,978,-9.9,3.824516328
11/20/2022,151080,44266440,2885628,64964400,45324000,6.9,14.8,23568480,1681,2.6,1076,69,6.41,5741,953,-7,3.758987547
11/21/2022,142512,37765680,2828863.2,66980640,38478240,6.8,14.8,20165448,1781,3.5,949,79,8.32,7444,2060,-9.2,3.871806364
11/22/2022,144216,34179192,2970849.6,56244240,33169680,6.9,14.7,18315432,1881,0.3,1378,102,7.4,15230,2258,-5.1,4.182699903
11/23/2022,143904,34105248,2921251.2,69073920,30219840,7.1,14.4,16692864,1525,0,1526,101,6.62,10056,2274,-4,4.002425265
11/24/2022,148728,40602744,3153033.6,65440320,38669280,7.1,14.4,20524464,1090,0,1282,85,6.63,10253,2134,-8.3,4.010850957
11/25/2022,153576,32250960,3363314.4,70644960,37335198.39,7,14.1,17354088,1645,7,1018,69,6.78,10270,2101,-0.5,4.011570444
11/26/2022,154392,45236856,3118718.4,63300720,39440377.31,7,14,18372648,1824,0.7,848,63,7.43,12023,1343,-3.4,4.080012847
11/27/2022,156360,27050280,3158472,73489200,43780800,7.1,14.1,22359480,1095,10.3,936,61,6.52,14131,995,-2.4,4.150172896
11/28/2022,213840,86177520,3100680,124027200,53460000,7.1,12.8,38705040,1135,3.2,1240,82,6.61,33327,1987,-2.4,4.522796221
11/29/2022,148728,37628184,2632485.6,59491200,34207440,7.1,13.9,21863016,986,0,1079,80,7.41,12813,2104,-7,4.107650826
11/30/2022,297168,97173936,3892900.8,127782240,53490240,7.2,11.6,45466704,1009,32.7,1363,133,9.76,48124,2331,0.6,4.682361718
12/1/2022,366312,51283680,2377364.88,65936160,29304960,7.4,10.8,22638081.6,780,0.3,882,70,7.94,42099,1994,-2,4.62427178
12/2/2022,229848,31489176,2286987.6,57462000,37504880.71,7.3,12.3,18318885.6,900,0,967,71,7.34,23946,2185,-4.6,4.379232978
12/3/2022,343104,66219072,3015884.16,99500160,58829342.82,7.2,10.7,37398336,1004,19.3,1035,72,6.96,38508,915,3,4.585550963
12/4/2022,326088,45652320,2595660.48,81522000,32282712,7.3,11.2,25500081.6,856,0.3,781,54,6.91,75002,918,-3.5,4.875072844
12/5/2022,226920,53780040,2337276,79422000,47653200,7.2,12.4,30861120,1392,3,1165,110,9.44,19427,1425,-0.6,4.28840574
12/6/2022,310392,77598000,3538468.8,145884240,46558800,7.1,11.2,36005472,1177,21.1,1320,129,9.77,35981,2089,1.1,4.556073229
12/7/2022,562296,50606640,2226692.16,78721440,21929544,7.3,9.5,25247090.4,684,22.3,1411,110,7.8,30176,1668,3.5,4.479661671
12/8/2022,448752,53850240,2297610.24,49362720,24681360,7.4,11,22886352,918,0.1,1190,121,10.17,21758,2198,-0.8,4.337618972
12/9/2022,314376,66018960,2008862.64,81737760,38763567.59,7.4,11.7,33952608,1019,0,1225,120,9.8,45173,1655,-6.3,4.654878934
12/10/2022,254040,48267600,2113612.8,68590800,32915284.77,7.3,11.9,22685772,1033,0,1098,129,11.75,38665,1406,-9.4,4.587318015
12/11/2022,223200,42408000,2410560,60264000,40176000,7.3,12.2,23212800,1035,0,894,97,10.85,17919,907,-8.2,4.253313769
12/12/2022,198168,45578640,2278932,63413760,35670240,7.2,12.3,17141532,1021,0,1397,128,9.16,30366,1726,-9.1,4.482387588
12/13/2022,187368,43094640,2304626.4,61831440,33726240,7.2,12.4,18736800,1015,0,1404,146,10.4,21244,2630,-6.5,4.327236293
12/14/2022,171576,41178240,2590797.6,61767360,34315200,7,12.6,20760696,998,0,1366,129,9.44,19322,1605,-3.1,4.286052078
12/15/2022,171576,49757040,2779531.2,63483120,37746720,7,12.6,48727584,982,0,1264,135,10.68,18998,2247,1.3,4.278707883
12/16/2022,166728,48351120,2784357.6,70025760,34371580.64,7,12.6,26676480,979,0,1278,121,9.47,14766,1748,-0.8,4.169262864
12/17/2022,172296,46519920,3273624,77533200,37323925.62,7,12.5,20675520,1528,4.6,827,86,10.4,11522,1262,-0.3,4.061527871
12/18/2022,174984,50745360,3254702.4,82242480,48995520,7,12.5,20823096,2140,2.2,867,67,7.73,33411,1474,-1.6,4.523889474
12/19/2022,164760,47780400,2702064,74142000,80732400,6.8,12.5,19771200,1768,0.2,1515,189,12.48,8291,1639,-1,3.918606915
12/20/2022,149736,41926080,2725195.2,62889120,40428720,6.9,12.6,19016472,1098,0,1309,126,9.63,16580,2351,-3.1,4.219584526
12/21/2022,145104,39178080,3438964.8,66747840,39178080,6.7,12.7,18863520,1090,0.3,1261,165,13.08,16341,1164,-8,4.21327863
12/22/2022,142728,42818400,3282744,68509440,44245680,6.9,12.4,20053284,1234,0,1254,115,9.17,11591.76485,1587,-11.5,4.064149562
12/23/2022,174576,47135520,3893044.8,76813440,56360874.76,7.1,11.5,26360976,1378,20.6,931,79,8.49,8697,563,-2.6,3.93936947
12/24/2022,150720,76867200,2939040,103996800,51131110.88,7.1,11.6,20799360,2280,0,511,45,8.81,39935,0,-8.7,4.601353689
12/25/2022,137064,46601760,3070233.6,72643920,43860480,7.1,11.8,14939976,1631,1,577,55,9.53,7208,0,-8.6,3.857814778
12/26/2022,136152,81691200,3376569.6,91221840,66714480,7,11.8,27502704,1545,0.2,838,96,11.46,11728,5,-12,4.069223957
12/30/2022,207360,91238400,3670272,141004800,84286179.51,6.5,11.3,46033920,2670,32.2,600,89,14.83,170844,413,1.8,5.232599731
12/31/2022,492288,103380480,2510668.8,142763520,210267325.4,7.2,7.1,37167744,1850,22,470,63,13.4,339284.2773,0,3.5,5.530563735
1/1/2023,471120,65956800,3321396,89512800,56534400,7.3,7.8,34109088,1009,13.4,509,72,14.15,261236,1,-0.8,5.417033025
1/2/2023,301608,90482400,2575732.32,105562800,48257280,7.3,9.6,37097784,1187,0.1,788,101,12.82,226846.1889,3,-1.1,5.355731487
1/3/2023,204936,59431440,2418244.8,73776960,51234000,7.2,11.1,30945336,1142,0.3,944,125,13.24,194637,826,-1.5,5.289225402
1/4/2023,180888,39795360,2369632.8,47030880,45222000,7.2,11.3,16080943.2,1087,0,1100,146,13.27,29063,913,-1.5,4.463340442
1/5/2023,170544,39225120,2438779.2,54574080,35814240,7.2,11.3,20294736,1230,0,956,113,11.82,17003,949,-6.6,4.230525555
1/6/2023,165984,36516480,2390169.6,51455040,35186642.04,7.1,11.4,16764384,1910,0,842,85,10.1,30535,575,-3.9,4.484797924
1/7/2023,162408,38977920,2338675.2,53594640,36177634.85,7.1,11.3,17540064,1966,0.2,770,60,7.79,14828,168,-6,4.171082577
1/8/2023,156888,39222000,2416075.2,56479680,34515360,7.1,11.4,17100792,1138,0,1013,99,9.77,12135,0,-10.5,4.084039781
1/9/2023,159024,44526720,2401262.4,58838880,34985280,6.9,11.5,20037024,1171,0,790,91,11.52,13117,163,-7.8,4.117834519
1/10/2023,151968,71424960,2765817.6,74464320,79023360,7.1,11.5,28114080,1647,0,920,83,9.02,8183,587,-11.7,3.912912551
1/11/2023,148560,63880800,2688936,65366400,38625600,7.2,11.4,16490160,1130,0,793,91,11.48,14563,513,-15.4,4.16325085
1/12/2023,146808,49914720,2686586.4,79276320,41106240,7.1,11.4,26572248,1084,0,934,95,10.17,5231,1179,-7.2,3.71858472
1/13/2023,146568,45436080,2799448.8,58627200,44468129.17,7,11.4,18467568,1769,18.9,642,46,7.17,9604,661,-3,3.982452151
1/14/2023,141216,33891840,2640739.2,50837760,45020960.79,7,11.4,16945920,1740,0,779,71,9.11,9348,557,-5.5,3.970718704
1/15/2023,140112,40632480,2718172.8,56044800,39231360,7.1,11.6,18354672,1291,0,644,47,7.3,7596,765,-9.6,3.880584956
1/16/2023,141504,42451200,2518771.2,62261760,36791040,7,11.5,16555968,1340,0,1011,78,7.72,4924,496,-7.8,3.692318044
1/17/2023,136344,36812880,2631439.2,69535440,27268800,7.1,11.4,16361280,1404,0,956,73,7.64,6262,475,-6.1,3.796713063
1/18/2023,135408,37914240,2951894.4,73120320,31143840,7,11.6,15842736,1218,0.7,789,49,6.21,4841,325,-2.6,3.684935083
1/19/2023,138936,38902080,2931549.6,69468000,34734000,6.8,11.7,14727216,1178,0.1,872,75,8.6,8480,785,-2.9,3.928395852
1/20/2023,140424,46339920,3005073.6,70212000,32772357.55,6.7,11.3,16008336,1722,0,717,76,10.6,5390,702,-4.6,3.731588765
1/21/2023,135264,33816000,2908176,71689920,33171852.61,7,11.3,13932192,1139,0,636,26,4.09,8255,311,-9.4,3.916717078
1/22/2023,138936,41680800,2848188,56963760,36123360,7,11.3,16811256,1026,0,800,52,6.5,8566,358,-5.7,3.93277807
1/23/2023,138936,40708248,2667571.2,54185040,38902080,6.9,11.3,16950192,1930,0.9,756,43,5.69,10077,240,-3.8,4.003331259
1/24/2023,135264,32057568,2705280,52752960,29758080,7.1,11.3,16502208,1541,0.3,676,42,6.21,10357,213,-7.5,4.015233976
1/25/2023,133800,32513400,2716140,48168000,30774000,7.1,11.2,14316600,1127,0,801,59,7.37,11930,316,-14.3,4.076640444
1/26/2023,134856,35467128,3142144.8,59336640,43153920,7,10.9,16047864,1296,0,626,43,6.87,8837,284,-7.9,3.946304855
1/27/2023,130848,32712000,2695468.8,51030720,36136037.79,7.1,11.2,12548323.2,1389,0,590,58,9.83,3806,312,-12.9,3.580468784
1/28/2023,132672,33168000,2918784,57048960,38501165.39,7.1,11.3,14991936,1742,3,560,24,4.29,6930,282,-5.9,3.840733235
1/29/2023,135408,41976480,3127924.8,60933600,50100960,7,11.3,15436512,1674,0,533,34,6.38,9241,158,-13.7,3.96571897
1/30/2023,136104,46275360,3293716.8,65329920,42192240,6.8,11.3,15651960,1606,0,717,67,9.34,12553,119,-15.2,4.098747529
1/31/2023,135672,43415040,3174724.8,67836000,32561280,7.1,11.4,16144968,1737,0,698,75,10.74,15805,161,-18.3,4.1987945
2/1/2023,133848,44169840,3105273.6,69600960,34800480,7.1,11.3,19675656,1261,0,733,65,8.87,10423,173,-20.5,4.017992738
2/2/2023,133080,33270000,2861220,66540000,35931600,7.1,11.2,20494320,1413,0,625,66,10.56,15608,199,-10.7,4.193347256
2/3/2023,128184,29482320,2961050.4,55119120,32658047.31,7.1,11.2,14356608,1680,0,658,52,7.9,8315,140,-21.2,3.919862254
2/4/2023,127800,29394000,2990520,53676000,34214358.71,7.2,10.9,14952600,1117,0,437,31,7.09,16039,109,-27,4.205177287
2/5/2023,132936,33234000,2911298.4,55833120,30575280,7.1,10.9,15553512,1144,0,561,34,6.06,12987,89,-15,4.113508841
2/6/2023,125832,35232960,2705388,61657680,28941360,7.1,11.1,15099840,1919,0,717,60,8.37,21707,28,-12.1,4.336599806
2/7/2023,140712,52063440,3151948.8,74577360,35178000,7.1,11.1,19136832,1733,0,915,89,9.73,7251,133,-12.1,3.860397905
2/8/2023,134568,45753120,2812471.2,67284000,32296320,6.7,10.5,17897544,3200,0.9,733,70,9.55,9435,220,-3.5,3.974741905
2/9/2023,130752,33995520,2811168,64068480,33995520,7,11.1,14251968,1430,0,657,78,11.87,14925,172,-8.9,4.17391434
2/10/2023,135360,33840000,3113280,50083200,32117022.42,7,11,14077440,1800,0,835,84,10.06,13314,139,-8.3,4.124308553
2/11/2023,132648,34488480,2851932,50406240,33072482.25,7,11.1,13795392,1744,0,547,39,7.13,16535,158,-7.7,4.218404199
2/12/2023,138072,38660160,2996162.4,64893840,33137280,6.8,11.1,16844784,1830,1.4,721,74,10.26,12104,97,-2.1,4.082928915
2/13/2023,136776,42400560,2749197.6,62916960,34194000,6.7,11.1,16139568,1808,0,786,70,8.91,65128,34,-5.7,4.813767742
2/14/2023,137400,31602000,2857920,68700000,32976000,6.9,11.1,17724600,2210,0.3,804,79,9.83,16006,124,-4.8,4.204282813
2/15/2023,171168,44503680,3868396.8,68467200,30810240,7,10.8,21053664,1543,16.9,852,89,10.45,37043,339,-4.9,4.568706152
2/16/2023,315936,157968000,3791232,183242880,66346560,7.2,8.1,78352128,1906,15.8,734,67,9.13,17539,238,0.2,4.244004828
2/17/2023,149304,88089360,2373933.6,134373600,33102545.63,7.1,10.3,33444096,1429,0,606,49,8.09,12441,82,-11.5,4.09485529
2/18/2023,141768,49618800,2495116.8,75137040,33028535.61,7.1,10.7,20839896,1643,0,669,74,11.06,11459,80,-13.6,4.059146719
2/19/2023,145680,14568000,2753352,87408000,37876800,7.1,10.8,25056960,1634,2.5,659,55,8.35,8115,69,-6.4,3.909288524
2/20/2023,171600,53196000,2882880,70356000,32604000,7.1,10.4,15890160,2560,3.4,756,106,14.02,17518,17,-6.2,4.243484522
2/21/2023,143232,35808000,2878963.2,60157440,37240320,7.1,10.5,13979443.2,1343,0,800,82,10.25,10710,91,-14.2,4.029789471
2/22/2023,133488,29367360,2456179.2,48055680,25362720,6.9,10.5,14550192,1331,0,840,92,10.95,15977,175,-11.9,4.203495235
2/23/2023,129864,28570080,2545334.4,48049680,25972800,6.7,10.5,12583821.6,1126,0,796,81,10.18,31002,109,-12.4,4.491389712
2/24/2023,128736,34758720,2510352,45057600,26789763.95,7,10.5,11805091.2,1924,0,678,76,11.21,12568,132,-16.4,4.099266172
2/25/2023,124608,33644160,2641689.6,47351040,27248083.28,7.1,10.6,10504454.4,1224,0,592,40,6.76,14119,110,-22.3,4.149803938
2/26/2023,127776,31944000,2670518.4,51110400,29388480,7.1,10.6,14055360,1138,0,655,80,12.21,6584,56,-18,3.818489822
2/27/2023,126120,32791200,2711580,49186800,26485200,7.1,10.7,13116480,1789,0,749,76,10.15,10834,232,-14,4.034788831
2/28/2023,124488,27387360,2676492,52284960,42325920,7.1,10.8,11863706.4,1321,0,697,64,9.18,8553,368,-7.4,3.932118472
3/1/2023,133680,32083200,2767176,61492800,26736000,7,10.7,16710000,2790,9.6,825,65,7.88,15055,314,-3.5,4.17768076
3/2/2023,135216,29747520,2866579.2,66255840,22986720,7,10.8,16090704,2600,3.4,692,48,6.94,8981,317,-3.6,3.953324696
3/3/2023,135648,35268480,2699395.2,52902720,29283398.14,7,10.7,15328224,2840,0,667,40,6,8564,186,-11.7,3.932676659
3/4/2023,136656,31430880,2787782.4,47829600,30999731.93,7,10.7,14348880,1451,0,600,38,6.33,17502,160,-7.2,4.24308768
3/5/2023,148512,40098240,2955388.8,54949440,28217280,7,10.5,16633344,1807,1.4,477,36,7.55,15420,78,-6.298,4.188084374
3/6/2023,137304,28833840,2567584.8,50802480,26087760,7,10.7,13318488,1301,0,741,74,9.99,13414,211,-4.087,4.127558302
3/7/2023,144600,31812000,2631720,57840000,26028000,7.1,10.6,14402160,1342,0,630,46,7.3,4931,402,-2.2,3.692935003
3/8/2023,184464,62717760,2914531.2,83008800,40582080,7.1,10.1,19553184,1600,0,685,63,9.2,7654,480,-0.2,3.883888458
3/9/2023,149160,40273200,2669964,61155600,32815200,7.1,10.4,14841420,1292,0,624,59,9.46,12262,374,-0.9,4.088561312
3/10/2023,154128,40073280,2589350.4,53944800,32073800.17,7.1,10.4,17262336,1221,0,605,47,7.77,9155,160,-3.4,3.961658349
3/11/2023,152808,32089680,2628297.6,50426640,33414589.04,7.1,10.3,12392728.8,1220,0,412,24,5.83,7285,196,-4.1,3.862429556
3/12/2023,173328,45065280,3050572.8,65864640,45065280,7.1,10.2,15824846.4,1209,0,467,29,6.21,35413,88,-2.5,4.549162719
3/13/2023,164424,39461760,2959632,62481120,36173280,7,10.4,16771248,1283,0,625,55,8.8,9668,175,-0.9,3.985336642
3/14/2023,152640,33580800,2778048,51897600,38160000,6.7,10.5,12867552,1307,0,712,51,7.16,13112,363,1.8,4.117668941
3/15/2023,151344,39349440,2693923.2,59024160,28755360,6.8,10.5,14922518.4,1367,0,563,42,7.46,27842,346,0.55,4.444700429
3/16/2023,168984,42246000,3058610.4,67593600,38866320,6.9,10.5,17067384,1271,0,601,52,8.65,16122,132,-0.7,4.207418917
3/17/2023,177528,42606720,3231009.6,62134800,36598039.73,7.1,10.2,15178644,1447,12.3,521,41,7.87,16995,208,-0.3,4.230321169
3/18/2023,309624,89790960,3189127.2,105272160,67072846.42,7.1,10.2,33129768,1563,13.5,458,20,4.37,8219,211,-0.8,3.91481898
3/19/2023,184752,40645440,2531102.4,62815680,31407840,7,9.8,13671648,1574,0,433,27,6.24,72538,133,-6.5,4.860565577
3/20/2023,181056,39832320,2969318.4,63369600,34400640,7,10,15860505.6,1470,0.1,529,33,6.24,4141,163,-4.7,3.617105231
3/21/2023,180888,63310800,2984652,92252880,48839760,7,10.1,18812352,1440,0.6,557,39,7,8336,129,-2.3,3.920957706
3/22/2023,188736,62282880,3076396.8,105692160,69832320,7.1,10,24724416,1395,0,560,33,5.89,7294,242,-6.4,3.862965759
3/23/2023,174816,50696640,2919427.2,71674560,68178240,7,9.6,19054944,1977,6.1,474,38,8.02,6756,374,-2,3.829689641
3/24/2023,211464,116305200,3002788.8,124763760,58399601.79,7,9.6,46310616,2070,2.9,491,31,6.31,8397,23,-3,3.924124153
3/25/2023,165144,59451840,2559732,72663360,47924478.84,7.1,9.9,20312712,1573,3.1,336,21,6.25,21366,302,-4.6,4.329723224
3/26/2023,203136,58909440,3128294.4,77191680,40627200,6.9,9.6,22954368,2510,29.9,341,19,5.57,7538,18,0.4,3.877256133
3/27/2023,279120,111648000,2958672,120021600,75362400,7.1,8.8,61964640,1690,12.8,481,32,6.65,10184,30,1.7,4.007918391
3/28/2023,262992,128866080,3024408,152535360,92047200,7.1,9.4,53913360,1343,0,542,33,6.09,9276,66,-1.3,3.96736074
3/29/2023,243312,107057280,2919744,133821600,72993600,7.1,9.7,44769408,1559,0,512,45,8.79,16106,265,-1.1,4.206987695
3/30/2023,237480,64119600,2897256,104491200,49870800,7,9.6,24935400,1689,0.9,561,42,7.49,8230,76,-4.5,3.915399835
3/31/2023,210216,67269120,2816894.4,81984240,57748315.83,7,9.8,18940461.6,1576,0,456,31,6.8,14157,47,-4.7,4.150971232
